🕒 Transcription Log
[535/58949] SKIPPED: tmp0ctsorwq.wav
[536/58949] SKIPPED: tmp0cu0s8n1.wav
[537/58949] SKIPPED: tmp0cuhkvdm.wav
[538/58949] SKIPPED: tmp0cux1hqx.wav
[539/58949] SKIPPED: tmp0cvg9q5h.wav
[540/58949] SKIPPED: tmp0cw5oxrr.wav
[541/58949] SKIPPED: tmp0cxseutu.wav
[542/58949] SKIPPED: tmp0cy1amuq.wav
[543/58949] SKIPPED: tmp0cy9ybw2.wav
[544/58949] SKIPPED: tmp0czlm88b.wav
[545/58949] SKIPPED: tmp0czrdo1g.wav
[546/58949] SKIPPED: tmp0d1b8_rk.wav
[547/58949] SKIPPED: tmp0d3lvxls.wav
[548/58949] SKIPPED: tmp0d5n625o.wav
[549/58949] SKIPPED: tmp0d6cmtii.wav
[550/58949] SKIPPED: tmp0d6z0fgf.wav
[551/58949] SKIPPED: tmp0d77t0pj.wav
[552/58949] SKIPPED: tmp0d7lm3s9.wav
[553/58949] SKIPPED: tmp0d7rd6i3.wav
[554/58949] SKIPPED: tmp0d8klish.wav
[555/58949] SKIPPED: tmp0d8zr0hc.wav
[556/58949] SKIPPED: tmp0d9aewft.wav
[557/58949] SKIPPED: tmp0d9i_jr0.wav
[558/58949] SKIPPED: tmp0dduvpqn.wav
[559/58949] SKIPPED: tmp0ddwavc6.wav
[560/58949] SKIPPED: tmp0de227rt.wav
[561/58949] SKIPPED: tmp0df8ic0d.wav
[562/58949] SKIPPED: tmp0dfdzb9g.wav
[563/58949] SKIPPED: tmp0dftcylx.wav
[564/58949] SKIPPED: tmp0dgyr_r_.wav
[565/58949] SKIPPED: tmp0diey8vb.wav
[566/58949] SKIPPED: tmp0di_mhtl.wav
[567/58949] SKIPPED: tmp0djeiyd0.wav
[568/58949] SKIPPED: tmp0djfulcy.wav
[569/58949] SKIPPED: tmp0dk0ihlt.wav
[570/58949] SKIPPED: tmp0dki1vmh.wav
[571/58949] SKIPPED: tmp0dlilfnn.wav
[572/58949] SKIPPED: tmp0dml6li0.wav
[573/58949] SKIPPED: tmp0dmytwt1.wav
[574/58949] SKIPPED: tmp0dngrmew.wav
[575/58949] SKIPPED: tmp0dofwrvb.wav
[576/58949] SKIPPED: tmp0doug0mi.wav
[577/58949] SKIPPED: tmp0dqlr96d.wav
[578/58949] SKIPPED: tmp0dqwqoe6.wav
[579/58949] SKIPPED: tmp0drmv57t.wav
[580/58949] SKIPPED: tmp0drn7i1w.wav
[581/58949] SKIPPED: tmp0dsb9e0w.wav
[582/58949] SKIPPED: tmp0dunrj3u.wav
[583/58949] SKIPPED: tmp0dutuajv.wav
[584/58949] SKIPPED: tmp0dvpt0dv.wav
[585/58949] SKIPPED: tmp0dvviafc.wav
[586/58949] SKIPPED: tmp0dvyysgi.wav
[587/58949] SKIPPED: tmp0dx0lmoe.wav
[588/58949] SKIPPED: tmp0dxk69fa.wav
[589/58949] SKIPPED: tmp0dykjdg7.wav
[590/58949] SKIPPED: tmp0dz1tn1j.wav
[591/58949] SKIPPED: tmp0dzyznc_.wav
[592/58949] SKIPPED: tmp0d_02q_f.wav
[593/58949] SKIPPED: tmp0d_1ozg7.wav
[594/58949] SKIPPED: tmp0d_teksm.wav
[595/58949] SKIPPED: tmp0e0a6yxk.wav
[596/58949] SKIPPED: tmp0e0_ubim.wav
[597/58949] SKIPPED: tmp0e1fnjfy.wav
[598/58949] SKIPPED: tmp0e1hifru.wav
[599/58949] SKIPPED: tmp0e1x_p0b.wav
[600/58949] SKIPPED: tmp0e3kp2b_.wav
[601/58949] SKIPPED: tmp0e3yg1ww.wav
[602/58949] SKIPPED: tmp0e464lq6.wav
[603/58949] SKIPPED: tmp0e4tlquo.wav
[604/58949] SKIPPED: tmp0e50laan.wav
[605/58949] SKIPPED: tmp0e51blen.wav
[606/58949] SKIPPED: tmp0e5al4r4.wav
[607/58949] SKIPPED: tmp0e5i6r3e.wav
[608/58949] SKIPPED: tmp0e5v01vy.wav
[609/58949] SKIPPED: tmp0e66i_z3.wav
[610/58949] SKIPPED: tmp0e7ikjl7.wav
[611/58949] SKIPPED: tmp0e7mrv2l.wav
[612/58949] SKIPPED: tmp0e902kd2.wav
[613/58949] SKIPPED: tmp0ea2p_j4.wav
[614/58949] SKIPPED: tmp0ecui78q.wav
[615/58949] SKIPPED: tmp0edoud2w.wav
[616/58949] SKIPPED: tmp0eeu3w79.wav
[617/58949] SKIPPED: tmp0efftr6y.wav
[618/58949] SKIPPED: tmp0ei7i6wg.wav
[619/58949] SKIPPED: tmp0eiz5pp2.wav
[620/58949] SKIPPED: tmp0ejro2hl.wav
[621/58949] SKIPPED: tmp0ekj31up.wav
[622/58949] SKIPPED: tmp0emobnha.wav
[623/58949] SKIPPED: tmp0enq_wxl.wav
[624/58949] SKIPPED: tmp0epo8uyy.wav
[625/58949] SKIPPED: tmp0er0davb.wav
[626/58949] SKIPPED: tmp0eshcnat.wav
[627/58949] SKIPPED: tmp0esy2v8j.wav
[628/58949] SKIPPED: tmp0etl_je4.wav
[629/58949] SKIPPED: tmp0evz0g3i.wav
[630/58949] SKIPPED: tmp0ewj7j8m.wav
[631/58949] SKIPPED: tmp0ex1ac6x.wav
[632/58949] SKIPPED: tmp0exfhuj2.wav
[633/58949] SKIPPED: tmp0exylfv1.wav
[634/58949] SKIPPED: tmp0ezsaqgh.wav
[635/58949] SKIPPED: tmp0ezx5v3m.wav
[636/58949] SKIPPED: tmp0f09jd52.wav
[637/58949] SKIPPED: tmp0f1cwrg1.wav
[638/58949] SKIPPED: tmp0f2esupo.wav
[639/58949] SKIPPED: tmp0f2r6snz.wav
[640/58949] SKIPPED: tmp0f4wyicg.wav
[641/58949] SKIPPED: tmp0f63e8p5.wav
[642/58949] SKIPPED: tmp0f6snf24.wav
[643/58949] SKIPPED: tmp0f6_icr8.wav
[644/58949] SKIPPED: tmp0f709klu.wav
[645/58949] SKIPPED: tmp0f84byh6.wav
[646/58949] SKIPPED: tmp0f8cbvq7.wav
[647/58949] SKIPPED: tmp0f9ljuh_.wav
[648/58949] SKIPPED: tmp0f9np3nj.wav
[649/58949] SKIPPED: tmp0fbnvbz8.wav
[650/58949] SKIPPED: tmp0fcsn5r5.wav
[651/58949] SKIPPED: tmp0fdhhjgq.wav
[652/58949] SKIPPED: tmp0ffyo40u.wav
[653/58949] SKIPPED: tmp0fhj5_sp.wav
[654/58949] SKIPPED: tmp0fhyedf9.wav
[655/58949] SKIPPED: tmp0figgmq7.wav
[656/58949] SKIPPED: tmp0fijmhkh.wav
[657/58949] SKIPPED: tmp0fiy8472.wav
[658/58949] SKIPPED: tmp0fj4w0ug.wav
[659/58949] SKIPPED: tmp0fj6k1lg.wav
[660/58949] SKIPPED: tmp0flfc5ka.wav
[661/58949] SKIPPED: tmp0fmtffb1.wav
[662/58949] SKIPPED: tmp0fn1urru.wav
[663/58949] SKIPPED: tmp0fnj4kia.wav
[664/58949] SKIPPED: tmp0fp91woj.wav
[665/58949] SKIPPED: tmp0fq1vyy8.wav
[666/58949] SKIPPED: tmp0fq8rs15.wav
[667/58949] SKIPPED: tmp0fqwcopb.wav
[668/58949] SKIPPED: tmp0fsqk158.wav
[669/58949] SKIPPED: tmp0ftrym1h.wav
[670/58949] SKIPPED: tmp0fvdl1x2.wav
[671/58949] SKIPPED: tmp0fvraac2.wav
[672/58949] SKIPPED: tmp0fwsn52b.wav
[673/58949] SKIPPED: tmp0fxif_u0.wav
[674/58949] SKIPPED: tmp0fxwzd1o.wav
[675/58949] SKIPPED: tmp0fyeqw59.wav
[676/58949] SKIPPED: tmp0fynqexi.wav
[677/58949] SKIPPED: tmp0fzke8jk.wav
[678/58949] SKIPPED: tmp0f_kf824.wav
[679/58949] SKIPPED: tmp0g05mu8x.wav
[680/58949] SKIPPED: tmp0g0lk5jo.wav
[681/58949] SKIPPED: tmp0g22l3q4.wav
[682/58949] SKIPPED: tmp0g24vff8.wav
[683/58949] SKIPPED: tmp0g2q92kc.wav
[684/58949] SKIPPED: tmp0g31fr36.wav
[685/58949] SKIPPED: tmp0g3oy4pi.wav
[686/58949] SKIPPED: tmp0g53pgmc.wav
[687/58949] SKIPPED: tmp0g5egxxv.wav
[688/58949] SKIPPED: tmp0g7tf01v.wav
[689/58949] SKIPPED: tmp0g7xfmgj.wav
[690/58949] SKIPPED: tmp0g8i191e.wav
[691/58949] SKIPPED: tmp0g9r63fm.wav
[692/58949] SKIPPED: tmp0gac3p3a.wav
[693/58949] SKIPPED: tmp0gahk8nh.wav
[694/58949] SKIPPED: tmp0gb6xj8r.wav
[695/58949] SKIPPED: tmp0gbqqskm.wav
[696/58949] SKIPPED: tmp0gbxv683.wav
[697/58949] SKIPPED: tmp0gdkriju.wav
[698/58949] SKIPPED: tmp0geuxy3r.wav
[699/58949] SKIPPED: tmp0ghe2gbg.wav
[700/58949] SKIPPED: tmp0gm5l14d.wav
[701/58949] SKIPPED: tmp0gm_48_6.wav
[702/58949] SKIPPED: tmp0gnvt2qu.wav
[703/58949] SKIPPED: tmp0go8d3s2.wav
[704/58949] SKIPPED: tmp0gpix57u.wav
[705/58949] SKIPPED: tmp0gq9rhg6.wav
[706/58949] SKIPPED: tmp0gr2g64s.wav
[707/58949] SKIPPED: tmp0gr32klg.wav
[708/58949] SKIPPED: tmp0gre49jk.wav
[709/58949] SKIPPED: tmp0grn6w4d.wav
[710/58949] SKIPPED: tmp0grti9x7.wav
[711/58949] SKIPPED: tmp0gr_ecjv.wav
[712/58949] SKIPPED: tmp0gs618ra.wav
[713/58949] SKIPPED: tmp0gsf_7pw.wav
[714/58949] SKIPPED: tmp0gswp5tm.wav
[715/58949] SKIPPED: tmp0gt38xa1.wav
[716/58949] SKIPPED: tmp0gtb2i1m.wav
[717/58949] SKIPPED: tmp0gtquzuz.wav
[718/58949] SKIPPED: tmp0gu20m51.wav
[719/58949] SKIPPED: tmp0gupven1.wav
[720/58949] SKIPPED: tmp0gv4poqz.wav
[721/58949] SKIPPED: tmp0gvc5c_w.wav
[722/58949] SKIPPED: tmp0gvdt0gr.wav
[723/58949] SKIPPED: tmp0gxnhebj.wav
[724/58949] SKIPPED: tmp0gydwdpx.wav
[725/58949] SKIPPED: tmp0gz3t2ue.wav
[726/58949] SKIPPED: tmp0h0qgdop.wav
[727/58949] SKIPPED: tmp0h1ts19m.wav
[728/58949] SKIPPED: tmp0h21j6t5.wav
[729/58949] SKIPPED: tmp0h44e72g.wav
[730/58949] SKIPPED: tmp0h4mdhbc.wav
[731/58949] SKIPPED: tmp0h5my7n7.wav
[732/58949] SKIPPED: tmp0h6ka0mq.wav
[733/58949] SKIPPED: tmp0h89kagv.wav
[734/58949] SKIPPED: tmp0h8io1da.wav
[735/58949] SKIPPED: tmp0hbtfzg8.wav
[736/58949] SKIPPED: tmp0hbwj8jr.wav
[737/58949] SKIPPED: tmp0hd3l4pl.wav
[738/58949] SKIPPED: tmp0hdmcnh0.wav
[739/58949] SKIPPED: tmp0hdxqocl.wav
[740/58949] SKIPPED: tmp0he2q6oa.wav
[741/58949] SKIPPED: tmp0hf6igt6.wav
[742/58949] SKIPPED: tmp0hhp97p8.wav
[743/58949] SKIPPED: tmp0hiaee1u.wav
[744/58949] SKIPPED: tmp0hjrllge.wav
[745/58949] SKIPPED: tmp0hksj7d8.wav
[746/58949] SKIPPED: tmp0hkzcvfl.wav
[747/58949] SKIPPED: tmp0hlavmps.wav
[748/58949] SKIPPED: tmp0hpdf0bb.wav
[749/58949] SKIPPED: tmp0hr0n9m7.wav
[750/58949] SKIPPED: tmp0hracl3_.wav
[751/58949] SKIPPED: tmp0hsgze7v.wav
[752/58949] SKIPPED: tmp0htb47z5.wav
[753/58949] SKIPPED: tmp0hukqqap.wav
[754/58949] SKIPPED: tmp0huli5z1.wav
[755/58949] SKIPPED: tmp0hvrdicy.wav
[756/58949] SKIPPED: tmp0hwdocz3.wav
[757/58949] SKIPPED: tmp0hw__9jf.wav
[758/58949] SKIPPED: tmp0hysq2ir.wav
[759/58949] SKIPPED: tmp0hzqpx3c.wav
[760/58949] SKIPPED: tmp0hzrh17y.wav
[761/58949] SKIPPED: tmp0hz_x5g1.wav
[762/58949] SKIPPED: tmp0h_buy0l.wav
[763/58949] SKIPPED: tmp0h_mfuyb.wav
[764/58949] SKIPPED: tmp0i0wxzr5.wav
[765/58949] SKIPPED: tmp0i296fq3.wav
[766/58949] SKIPPED: tmp0i3cq4s_.wav
[767/58949] SKIPPED: tmp0i3oo_c0.wav
[768/58949] SKIPPED: tmp0i41myvr.wav
[769/58949] SKIPPED: tmp0i8iug7_.wav
[770/58949] SKIPPED: tmp0ib1zluu.wav
[771/58949] SKIPPED: tmp0ic0dw0o.wav
[772/58949] SKIPPED: tmp0id63dac.wav
[773/58949] SKIPPED: tmp0id_xd4e.wav
[774/58949] SKIPPED: tmp0ietmik2.wav
[775/58949] SKIPPED: tmp0iftp9ot.wav
[776/58949] SKIPPED: tmp0ifymjp5.wav
[777/58949] SKIPPED: tmp0ihxviel.wav
[778/58949] SKIPPED: tmp0ii1nrwo.wav
[779/58949] SKIPPED: tmp0iimh14_.wav
[780/58949] SKIPPED: tmp0iipz4wf.wav
[781/58949] SKIPPED: tmp0ijlb3v6.wav
[782/58949] SKIPPED: tmp0ijrl70t.wav
[783/58949] SKIPPED: tmp0ik6cktb.wav
[784/58949] SKIPPED: tmp0ilotb50.wav
[785/58949] SKIPPED: tmp0il_d2c7.wav
[786/58949] SKIPPED: tmp0imw8rir.wav
[787/58949] SKIPPED: tmp0imxqrwm.wav
[788/58949] SKIPPED: tmp0io3rxcw.wav
[789/58949] SKIPPED: tmp0ioj3733.wav
[790/58949] SKIPPED: tmp0ip2su64.wav
[791/58949] SKIPPED: tmp0isi18wh.wav
[792/58949] SKIPPED: tmp0itoq3f7.wav
[793/58949] SKIPPED: tmp0iubdcny.wav
[794/58949] SKIPPED: tmp0iur60qh.wav
[795/58949] SKIPPED: tmp0iuxhqgd.wav
[796/58949] SKIPPED: tmp0ivxcede.wav
[797/58949] SKIPPED: tmp0iwoak41.wav
[798/58949] SKIPPED: tmp0ixaoyxs.wav
[799/58949] SKIPPED: tmp0ixxnsmk.wav
[800/58949] SKIPPED: tmp0iy765ft.wav
[801/58949] SKIPPED: tmp0iz2kmkt.wav
[802/58949] SKIPPED: tmp0i_b8wuh.wav
[803/58949] SKIPPED: tmp0i_mnctl.wav
[804/58949] SKIPPED: tmp0i_zzdds.wav
[805/58949] SKIPPED: tmp0j01zses.wav
[806/58949] SKIPPED: tmp0j2ihjr9.wav
[807/58949] SKIPPED: tmp0j3pduk3.wav
[808/58949] SKIPPED: tmp0j4sneqm.wav
[809/58949] SKIPPED: tmp0j63drz8.wav
[810/58949] SKIPPED: tmp0j6lbzco.wav
[811/58949] SKIPPED: tmp0j6rlby2.wav
[812/58949] SKIPPED: tmp0j6yt5zx.wav
[813/58949] SKIPPED: tmp0j7qqakc.wav
[814/58949] SKIPPED: tmp0j97u3pu.wav
[815/58949] SKIPPED: tmp0j983she.wav
[816/58949] SKIPPED: tmp0j9g1ox4.wav
[817/58949] SKIPPED: tmp0j9vbm0a.wav
[818/58949] SKIPPED: tmp0j9zk7fm.wav
[819/58949] SKIPPED: tmp0jb1cukm.wav
[820/58949] SKIPPED: tmp0jb2c2md.wav
[821/58949] SKIPPED: tmp0jbbsx9x.wav
[822/58949] SKIPPED: tmp0jct6cj2.wav
[823/58949] SKIPPED: tmp0jdji10c.wav
[824/58949] SKIPPED: tmp0je3_q8n.wav
[825/58949] SKIPPED: tmp0je5m46s.wav
[826/58949] SKIPPED: tmp0jf280pv.wav
[827/58949] SKIPPED: tmp0jhrjs1w.wav
[828/58949] SKIPPED: tmp0jm9ef_s.wav
[829/58949] SKIPPED: tmp0jn7l9ql.wav
[830/58949] SKIPPED: tmp0jnc3sz3.wav
[831/58949] SKIPPED: tmp0jncjjpe.wav
[832/58949] SKIPPED: tmp0jnphbm5.wav
[833/58949] SKIPPED: tmp0jrrhc1r.wav
[834/58949] SKIPPED: tmp0jrvbnri.wav
[835/58949] SKIPPED: tmp0jskmb58.wav
[836/58949] SKIPPED: tmp0jsrfld6.wav
[837/58949] SKIPPED: tmp0jszzcv0.wav
[838/58949] SKIPPED: tmp0jt8wgy_.wav
[839/58949] SKIPPED: tmp0jureqtr.wav
[840/58949] SKIPPED: tmp0jvexd65.wav
[841/58949] SKIPPED: tmp0jvggokc.wav
[842/58949] SKIPPED: tmp0jw7phet.wav
[843/58949] SKIPPED: tmp0jwh9ti0.wav
[844/58949] SKIPPED: tmp0jwle5ry.wav
[845/58949] SKIPPED: tmp0jwpfvo4.wav
[846/58949] SKIPPED: tmp0jwzqlrd.wav
[847/58949] SKIPPED: tmp0jybmy77.wav
[848/58949] SKIPPED: tmp0k01h6dn.wav
[849/58949] SKIPPED: tmp0k0p6h2b.wav
[850/58949] SKIPPED: tmp0k2hxuly.wav
[851/58949] SKIPPED: tmp0k3utuep.wav
[852/58949] SKIPPED: tmp0k4qpvqm.wav
[853/58949] SKIPPED: tmp0k527bec.wav
[854/58949] SKIPPED: tmp0k5g8vic.wav
[855/58949] SKIPPED: tmp0k6p9yuh.wav
[856/58949] SKIPPED: tmp0k7m44bv.wav
[857/58949] SKIPPED: tmp0k7xa6d3.wav
[858/58949] SKIPPED: tmp0kbyvxqc.wav
[859/58949] SKIPPED: tmp0kc67afi.wav
[860/58949] SKIPPED: tmp0kco1xe2.wav
[861/58949] SKIPPED: tmp0kcw_ar3.wav
[862/58949] SKIPPED: tmp0kdy3wz9.wav
[863/58949] SKIPPED: tmp0kfiqklo.wav
[864/58949] SKIPPED: tmp0kh9auyt.wav
[865/58949] SKIPPED: tmp0kibtk5h.wav
[866/58949] SKIPPED: tmp0kj55qo7.wav
[867/58949] SKIPPED: tmp0kk41mhh.wav
[868/58949] SKIPPED: tmp0kk4k06p.wav
[869/58949] SKIPPED: tmp0klw_0iu.wav
[870/58949] SKIPPED: tmp0kl_434g.wav
[871/58949] SKIPPED: tmp0ko45zh5.wav
[872/58949] SKIPPED: tmp0kouqroj.wav
[873/58949] SKIPPED: tmp0kpu6tph.wav
[874/58949] SKIPPED: tmp0kq183ei.wav
[875/58949] SKIPPED: tmp0kq4za9x.wav
[876/58949] SKIPPED: tmp0kraxh7u.wav
[877/58949] SKIPPED: tmp0krnf1vt.wav
[878/58949] SKIPPED: tmp0ks7baex.wav
[879/58949] SKIPPED: tmp0ksbt1bh.wav
[880/58949] SKIPPED: tmp0ktahv73.wav
[881/58949] SKIPPED: tmp0ku0s1q5.wav
[882/58949] SKIPPED: tmp0ku8orhs.wav
[883/58949] SKIPPED: tmp0kv2pcja.wav
[884/58949] SKIPPED: tmp0kw6k6yr.wav
[885/58949] SKIPPED: tmp0kwl3pso.wav
[886/58949] SKIPPED: tmp0kxsxjiw.wav
[887/58949] SKIPPED: tmp0kzieq8k.wav
[888/58949] SKIPPED: tmp0kzybncs.wav
[889/58949] SKIPPED: tmp0kzz5kud.wav
[890/58949] SKIPPED: tmp0l1lqzhc.wav
[891/58949] SKIPPED: tmp0l1zz8e2.wav
[892/58949] SKIPPED: tmp0l5f419l.wav
[893/58949] SKIPPED: tmp0l5zc0sr.wav
[894/58949] SKIPPED: tmp0l7c51f4.wav
[895/58949] SKIPPED: tmp0l7x63n8.wav
[896/58949] SKIPPED: tmp0l8f60hb.wav
[897/58949] SKIPPED: tmp0l9tqnjl.wav
[898/58949] SKIPPED: tmp0labolki.wav
[899/58949] SKIPPED: tmp0lanflno.wav
[900/58949] SKIPPED: tmp0lbuta67.wav
[901/58949] SKIPPED: tmp0lclly3q.wav
[902/58949] SKIPPED: tmp0ldkvweb.wav
[903/58949] SKIPPED: tmp0lewb__d.wav
[904/58949] SKIPPED: tmp0lexelf5.wav
[905/58949] SKIPPED: tmp0lhmpbbt.wav
[906/58949] SKIPPED: tmp0li5nsuf.wav
[907/58949] SKIPPED: tmp0li8su3f.wav
[908/58949] SKIPPED: tmp0litxw9b.wav
[909/58949] SKIPPED: tmp0lj6mwft.wav
[910/58949] SKIPPED: tmp0ljlgmaj.wav
[911/58949] SKIPPED: tmp0llvx7ju.wav
[912/58949] SKIPPED: tmp0lm5te1r.wav
[913/58949] SKIPPED: tmp0lmomrvh.wav
[914/58949] SKIPPED: tmp0lnppcr9.wav
[915/58949] SKIPPED: tmp0loj1vnq.wav
[916/58949] SKIPPED: tmp0lpa0yy_.wav
[917/58949] SKIPPED: tmp0lpmni3q.wav
[918/58949] SKIPPED: tmp0lpniy7l.wav
[919/58949] SKIPPED: tmp0lrl00ch.wav
[920/58949] SKIPPED: tmp0lruiib1.wav
[921/58949] SKIPPED: tmp0lsi__yk.wav
[922/58949] SKIPPED: tmp0ltxz1kb.wav
[923/58949] SKIPPED: tmp0luwempm.wav
[924/58949] SKIPPED: tmp0lu_6e_9.wav
[925/58949] SKIPPED: tmp0lvgxj5l.wav
[926/58949] SKIPPED: tmp0lw1oj4s.wav
[927/58949] SKIPPED: tmp0lwopd64.wav
[928/58949] SKIPPED: tmp0lx56wru.wav
[929/58949] SKIPPED: tmp0lyco80s.wav
[930/58949] SKIPPED: tmp0lzur6kr.wav
[931/58949] SKIPPED: tmp0m1wvnl0.wav
[932/58949] SKIPPED: tmp0m22v92d.wav
[933/58949] SKIPPED: tmp0m24kp24.wav
[934/58949] SKIPPED: tmp0m2afwg1.wav
[935/58949] SKIPPED: tmp0m37l8e8.wav
[936/58949] SKIPPED: tmp0m3bp_2u.wav
[937/58949] SKIPPED: tmp0m4uq8dk.wav
[938/58949] SKIPPED: tmp0m4_pbkw.wav
[939/58949] SKIPPED: tmp0m6r35r0.wav
[940/58949] SKIPPED: tmp0m6tb4jy.wav
[941/58949] SKIPPED: tmp0m84jtnl.wav
[942/58949] SKIPPED: tmp0m8mshrm.wav
[943/58949] SKIPPED: tmp0m94zh8r.wav
[944/58949] SKIPPED: tmp0mae9z4k.wav
[945/58949] SKIPPED: tmp0mdvs1yx.wav
[946/58949] SKIPPED: tmp0mehohpb.wav
[947/58949] SKIPPED: tmp0mg91nli.wav
[948/58949] SKIPPED: tmp0mj2efdb.wav
[949/58949] SKIPPED: tmp0mksz4uz.wav
[950/58949] SKIPPED: tmp0mmhylxs.wav
[951/58949] SKIPPED: tmp0mp3dy9l.wav
[952/58949] SKIPPED: tmp0mqmohd7.wav
[953/58949] SKIPPED: tmp0mquxv_x.wav
[954/58949] SKIPPED: tmp0mqxrdkt.wav
[955/58949] SKIPPED: tmp0ms_wiso.wav
[956/58949] SKIPPED: tmp0mt0tf53.wav
[957/58949] SKIPPED: tmp0mtljcyl.wav
[958/58949] SKIPPED: tmp0mum9jvm.wav
[959/58949] SKIPPED: tmp0mvgwpvp.wav
[960/58949] SKIPPED: tmp0mw731hx.wav
[961/58949] SKIPPED: tmp0my1rtaz.wav
[962/58949] SKIPPED: tmp0myrnb4x.wav
[963/58949] SKIPPED: tmp0m_9zp4_.wav
[964/58949] SKIPPED: tmp0m_cvdls.wav
[965/58949] SKIPPED: tmp0m_l9u2v.wav
[966/58949] SKIPPED: tmp0n0jvx9l.wav
[967/58949] SKIPPED: tmp0n11wbg3.wav
[968/58949] SKIPPED: tmp0n19mbpf.wav
[969/58949] SKIPPED: tmp0n2mpngn.wav
[970/58949] SKIPPED: tmp0n4za85w.wav
[971/58949] SKIPPED: tmp0n5lgxef.wav
[972/58949] SKIPPED: tmp0n7m962s.wav
[973/58949] SKIPPED: tmp0n8eeukw.wav
[974/58949] SKIPPED: tmp0nbtawgd.wav
[975/58949] SKIPPED: tmp0nc3c1pf.wav
[976/58949] SKIPPED: tmp0nc6mvf1.wav
[977/58949] SKIPPED: tmp0ncxmmow.wav
[978/58949] SKIPPED: tmp0ncy3g97.wav
[979/58949] SKIPPED: tmp0nda6nba.wav
[980/58949] SKIPPED: tmp0ndb77nk.wav
[981/58949] SKIPPED: tmp0ndda3nl.wav
[982/58949] SKIPPED: tmp0nduc0mj.wav
[983/58949] SKIPPED: tmp0ni70t84.wav
[984/58949] SKIPPED: tmp0nj00iu_.wav
[985/58949] SKIPPED: tmp0njsddeu.wav
[986/58949] SKIPPED: tmp0njx7utx.wav
[987/58949] SKIPPED: tmp0nkpym23.wav
[988/58949] SKIPPED: tmp0nkvks68.wav
[989/58949] SKIPPED: tmp0nlr667b.wav
[990/58949] SKIPPED: tmp0nm81bbx.wav
[991/58949] SKIPPED: tmp0nmw3bdh.wav
[992/58949] SKIPPED: tmp0np5f4i2.wav
[993/58949] SKIPPED: tmp0nsl6vok.wav
[994/58949] SKIPPED: tmp0nspbq3y.wav
[995/58949] SKIPPED: tmp0nuw_4n7.wav
[996/58949] SKIPPED: tmp0nvjsquc.wav
[997/58949] SKIPPED: tmp0nvo5ygd.wav
[998/58949] SKIPPED: tmp0nw4jwok.wav
[999/58949] SKIPPED: tmp0nwd76uq.wav
[1000/58949] SKIPPED: tmp0nwfgibb.wav
[1001/58949] SKIPPED: tmp0nxjrfpf.wav
[1002/58949] SKIPPED: tmp0n_j_n_1.wav
[1003/58949] SKIPPED: tmp0o19kf7m.wav
[1004/58949] SKIPPED: tmp0o1sgjtd.wav
[1005/58949] SKIPPED: tmp0o23to72.wav
[1006/58949] SKIPPED: tmp0o2buw60.wav
[1007/58949] SKIPPED: tmp0o2lt41v.wav
[1008/58949] SKIPPED: tmp0o3yw7lk.wav
[1009/58949] SKIPPED: tmp0o4mr5h9.wav
[1010/58949] SKIPPED: tmp0o4u1s35.wav
[1011/58949] SKIPPED: tmp0o4zhcsd.wav
[1012/58949] SKIPPED: tmp0o5dm_hu.wav
[1013/58949] SKIPPED: tmp0o5_iayr.wav
[1014/58949] SKIPPED: tmp0o6lloez.wav
[1015/58949] SKIPPED: tmp0o7q579g.wav
[1016/58949] SKIPPED: tmp0o99crh6.wav
[1017/58949] SKIPPED: tmp0o9w0w_0.wav
[1018/58949] SKIPPED: tmp0oacbx_6.wav
[1019/58949] SKIPPED: tmp0oaq1v4y.wav
[1020/58949] SKIPPED: tmp0ob5u4mp.wav
[1021/58949] SKIPPED: tmp0obvl7pk.wav
[1022/58949] SKIPPED: tmp0oby320r.wav
[1023/58949] SKIPPED: tmp0ofk1ua3.wav
[1024/58949] SKIPPED: tmp0og6dkx7.wav
[1025/58949] SKIPPED: tmp0ohe2jaf.wav
[1026/58949] SKIPPED: tmp0ohrjrug.wav
[1027/58949] SKIPPED: tmp0oj8xmc8.wav
[1028/58949] SKIPPED: tmp0ojv5pw4.wav
[1029/58949] SKIPPED: tmp0ok33ybq.wav
[1030/58949] SKIPPED: tmp0okvr_f_.wav
[1031/58949] SKIPPED: tmp0olmjyok.wav
[1032/58949] SKIPPED: tmp0olnelj6.wav
[1033/58949] SKIPPED: tmp0olvp5xh.wav
[1034/58949] SKIPPED: tmp0om482l2.wav
[1035/58949] SKIPPED: tmp0ondk19f.wav
[1036/58949] SKIPPED: tmp0oo7y7zp.wav
[1037/58949] SKIPPED: tmp0op4kyy6.wav
[1038/58949] SKIPPED: tmp0oq_9a3v.wav
[1039/58949] SKIPPED: tmp0os571a5.wav
[1040/58949] SKIPPED: tmp0osmpb55.wav
[1041/58949] SKIPPED: tmp0osprm51.wav
[1042/58949] SKIPPED: tmp0oz3jyli.wav
[1043/58949] SKIPPED: tmp0ozmidfk.wav
[1044/58949] SKIPPED: tmp0o_0iqby.wav
[1045/58949] SKIPPED: tmp0o_2l22g.wav
[1046/58949] SKIPPED: tmp0p2l29ql.wav
[1047/58949] SKIPPED: tmp0p2wnuf9.wav
[1048/58949] SKIPPED: tmp0p44sopq.wav
[1049/58949] SKIPPED: tmp0p47kqep.wav
[1050/58949] SKIPPED: tmp0p58plht.wav
